1732599462696
1732684875875,1,3,-1.8764977,5.6007533,6.8090405
1732684875885,1,3,-1.7351917,5.6797886,6.8138304
1732684875895,1,3,-1.7747095,5.6833816,6.7551527
1732684875905,1,3,-1.1579919,5.868995,6.7826953
1732684875915,1,3,-1.0633887,5.6486535,6.8880763
1732684875925,1,3,-1.5483801,5.3217335,6.883286
1732684875935,1,3,-1.9830762,5.133724,6.9455566
1732684875945,1,3,-2.0585194,5.158872,6.956334
1732684875955,1,3,-2.0237916,5.3528686,6.9946547
1732684875965,1,3,-1.7411792,5.661826,6.884484
1732684875975,1,3,-1.477727,5.7217016,6.910829
1732684875985,1,3,-1.4082714,5.5097423,7.0150123
1732684875995,1,3,-1.4621594,5.367239,7.1347632
1732684876005,1,3,-1.6657361,5.677394,7.2341566
1732684876015,1,3,-1.4226416,5.726492,7.056925
1732684876025,1,3,-1.1759546,5.78996,7.0796776
1732684876035,1,3,-1.2549902,5.611531,7.013815
1732684876045,1,3,-1.3711487,5.586383,7.149133
1732684876055,1,3,-1.3040881,5.5217175,7.1443434
1732684876064,1,3,-1.0609937,5.5780005,7.03537
1732684876074,1,3,-0.9687854,5.9037232,6.947952
1732684876084,1,3,-0.92567503,6.221063,6.8042507
1732684876094,1,3,-0.7113208,6.1935205,6.7407823
1732684876104,1,3,-0.40835083,6.067782,6.7826953
1732684876114,1,3,-0.5221143,6.2090883,6.74198
1732684876124,1,3,-0.5149292,6.5551686,6.4438
1732684876134,1,3,-0.23111938,6.7671275,6.234236
1732684876144,1,3,0.19878662,7.310797,6.1204724
1732684876154,1,3,0.5556445,7.8640466,6.1348424
1732684876164,1,3,0.44667113,8.641231,5.892946
1732684876174,1,3,-0.20956421,8.096363,3.5637891
1732684876184,1,3,0.15687378,9.83395,5.8737855
1732684876194,1,3,0.79035646,9.849518,5.18881
1732684876204,1,3,1.5232325,8.8460045,4.806804
1732684876214,1,3,1.7304016,7.4173756,4.301455
1732684876224,1,3,1.6657361,5.046306,5.1864147
1732684876234,1,3,1.113684,2.4872277,5.6714063
1732684876244,1,3,0.4394861,0.39637575,5.987549
