mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-5.451667191305668,4.955232893449778,-4.55113585,7.36160039776163,-0.1653481565843333,3.09389067893208,0.199984125,3.093152493432017,6.273629908999999,2.8594416342932334,6.49289785,6.892574555768631,tooth_brush
-6.772596319952333,4.998828383258108,-6.65635825,8.41267209834552,0.30954031434333334,2.931988965751434,0.437689815,2.9434196615231376,5.7084172823333335,2.6767014080964477,5.81031735,6.302925976289666,tooth_brush
-6.92371408686,4.896988733701307,-6.61684035,8.475752498690278,0.021587118710000037,2.9082741581217677,0.13352234000000002,2.9035032381413104,5.572124714266667,2.7572922586480426,5.81031735,6.2149732283368,tooth_brush
-6.69864612436,4.835832490183743,-5.8522302,8.257068780926007,-0.13772160362,2.4746953478453113,-0.1353186025,2.4744030757340374,5.833928301223334,2.596663220904372,6.0270665,6.383956749044388,tooth_brush
-6.833741165313334,4.544894893206774,-5.8983345,8.202879637023456,0.05085424389333336,2.4542008871470546,0.14250366,2.4506348446774164,5.808293604056667,3.048588834142858,6.0150915000000005,6.557376672444596,tooth_brush
-7.126196982666667,3.8067248714164106,-6.785689,8.07623265111518,0.9719667778873334,2.810772168818652,0.891546025,2.969650619467802,5.469366407459,3.1472313064938358,5.62170955,6.307615786700017,tooth_brush
-7.407112815233333,3.6914292650237317,-7.546108,8.273242901640119,1.7980489298173332,2.7489106927051554,1.93697205,3.28089950834083,5.079393351515666,3.4435560594311956,5.22293905,6.13341570628352,tooth_brush
-7.481454224658334,4.076202704332582,-7.6323285,8.516583883274066,1.7382173507473333,2.4856275117987865,1.8920655,3.0297110762291193,4.920767216782333,3.8226540089158747,4.7367498,6.227192363181615,tooth_brush
-7.083457880891666,4.14878285923852,-7.274872,8.20551034972438,0.40036742187999985,2.5444505509303714,0.63527895,2.571564099261825,5.118384263646667,3.887447604187298,5.22293905,6.423373894047406,tooth_brush
-7.4391222699916675,3.7573619734959864,-7.877818100000001,8.331341423670024,-1.6228692304899999,3.38667857906527,-1.4310242,3.750341899682094,4.140030758114333,3.5233436532423674,3.61168945,5.432533970623641,tooth_brush
-7.811735409233333,2.946972161390266,-8.007748249999999,8.347389185097281,-2.53793432637,4.325224908369073,-2.17048645,5.008624819706849,3.430023226681,2.678947561571983,2.98179935,4.3494708689408155,tooth_brush
-8.645757048333333,2.0681063458164624,-8.337063,8.888865052237348,-2.2643153101610003,5.040770192222613,-1.7878821,5.518314060851693,2.5740951486843335,1.7134821292007643,2.66565665,3.090663376183227,tooth_brush
-8.743374055999999,2.961129782703224,-8.677155500000001,9.229607350325322,-1.1438692861876667,4.720118303734421,-0.9178912349999999,4.849091532352016,3.1721155593433332,1.5651722069651928,3.16621575,3.53608756667019,tooth_brush
