mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-3.477526463975,2.383546983203202,-3.59312805,4.2126096481489785,-6.2237995611,4.620852552449052,-7.1922435,7.7447529267670046,-2.149110909575,7.2963536812203,-0.865799545,7.588759507185873,not_tooth_brush
-2.737345670025,2.378133878950911,-2.60099125,3.6221960824460684,-5.9032441621,5.153427929926367,-7.02938215,7.827727765397067,-7.626275070949999,6.261379207968081,-8.210725,9.857429517670342,not_tooth_brush
-3.72519542995,2.543285216909618,-3.9673499,4.506998911404197,-5.631978243450001,5.695300474217352,-6.3252465,7.9995902513101536,-5.662610528575,6.513156381061069,-6.54918095,8.618251447495842,not_tooth_brush
-4.339967006099999,2.173277012336694,-4.10506365,4.851271062466614,-5.71180423925,4.003578927070407,-5.66003,6.969448232942841,-5.41334289875,5.3191613075104875,-7.171886,7.579992808023445,not_tooth_brush
-3.7478642806,1.8557728252106356,-3.7751495999999998,4.180090905793039,-4.8722481059480005,3.4331950249712793,-5.0403187,5.955392140321574,-8.819018781499999,2.5399811987522867,-8.759185500000001,9.175747339373222,not_tooth_brush
-4.85353103775,2.213197403294706,-4.779860149999999,5.332027294249652,-4.083963355643,3.6759075939774712,-3.7470081,5.48848720928625,-2.5598088549199995,7.216076253259027,-4.74513235,7.639634748082621,not_tooth_brush
-5.324631392500001,2.1287557914206845,-4.8738649,5.732420316010163,-4.466058787445,2.891968353229311,-4.1775129,5.316704302875434,-0.5775170151199999,6.579167007411471,2.9853918999999998,6.588060201729162,not_tooth_brush
-4.19471506535,1.7038412017514744,-3.9781275000000003,4.525946745826362,-4.670599446425,2.37187373405795,-4.193080699999999,5.235661875465981,-7.1881960582,4.690563534615905,-8.64482275,8.576802545939199,not_tooth_brush
-3.74704398518,1.5573291968502876,-3.6506084,4.056289743484699,-3.927161434895,2.597369887280011,-3.93561575,4.704805587420036,-9.3874227365,1.8862851696881315,-9.3717115,9.574131136371362,not_tooth_brush
-3.5618490981549997,1.8797806204256313,-3.62007215,4.025254812189003,-4.821401852028,3.0622126159469305,-5.1720445,5.707554309288459,-8.995034693000001,2.6172599268286016,-9.1759185,9.366239822107564,not_tooth_brush
-3.510008889625,1.9307255259323035,-3.57636295,4.003651452917781,-5.050545330988,2.91098892359692,-5.4600458,5.825761355488408,-8.671072406,3.0684890070454762,-8.73284,9.19543600556938,not_tooth_brush
-4.2349393863,1.8996384934890858,-4.1739202,4.639536062964785,-5.383776383130001,4.214481080117998,-5.3504737,6.830672709502889,-4.60577824445,6.064399682641583,-6.08754115,7.6030422878159865,not_tooth_brush
-5.365424545999999,1.8451710652676012,-5.19359985,5.672337572607926,-5.9196380605500005,4.993555440457682,-5.96240115,7.736474179182147,1.8922630157999998,4.301946611798713,3.2260914,4.689868894593655,not_tooth_brush
-4.9910650325,1.9628454813619443,-4.8103966499999995,5.361364446708386,-5.183846132999999,4.0150572702484055,-4.7768664,6.550751269097061,-1.2256871723999998,6.370063420572297,2.0339702500000003,6.471254011919837,not_tooth_brush
-3.9933777265000003,1.365493378835265,-3.90088795,4.2192789636750785,-4.756640518199999,2.4149023919663413,-4.4894640500000005,5.331812432399802,-7.79097458215,4.02086012837664,-8.723859000000001,8.762748685818654,not_tooth_brush
-3.698461006,1.4897915349920583,-3.5877394000000002,3.98584937454338,-5.351766931649999,3.1089993248750347,-5.00199845,6.185382503028047,-7.3593740862849994,4.296626144813467,-8.471184000000001,8.516400541839042,not_tooth_brush
-4.221162056,1.6474419587643168,-4.329596649999999,4.529757585729492,-6.72243064238,3.9775284285076182,-6.1815455,7.805940204690138,-1.4817506717199995,5.553149311481211,0.80472655,5.734009504035452,not_tooth_brush
-5.109546647799999,1.539215534031448,-5.142107,5.335241839312151,-6.67509908598,3.412883473305135,-6.5521746499999995,7.493095658137467,1.101409598915,3.996007796364826,2.4692651000000003,4.135376769007576,not_tooth_brush
-4.5246649093,1.7229314038861205,-4.35414535,4.840066394258997,-5.252032352715,2.4041388811216033,-5.4468729499999995,5.773632147520925,-4.79911020615,5.770514175002316,-7.4904235,7.4942510263171895,not_tooth_brush
-3.6166531468000005,1.2172922248866704,-3.6691699,3.8150453920266836,-5.163260927015,2.4220649578649684,-5.1307306,5.7005552420142935,-8.237765478850001,2.6267986099621687,-8.777148,8.644440448470073,not_tooth_brush
-4.173986161799999,1.6498580992989695,-3.84759885,4.486711721069362,-6.7854914721499995,3.1543686976708023,-6.82999675,7.479517777909317,-3.5886194250550005,4.806544973642004,-3.82963625,5.988785318293441,not_tooth_brush
-4.997735164,1.70515624242118,-4.921765150000001,5.279240171795055,-6.551929177649999,3.2835164747542396,-5.8636064999999995,7.324981159479115,0.16419656304500008,4.574310218336169,1.4861096,4.565813499807303,not_tooth_brush
-4.8040080255,1.5863988710311951,-4.5511357,5.057921626536676,-5.04112091195,2.7182770874279107,-4.2349933,5.72407068626122,-1.91517735345,6.49654388195279,-0.72688843,6.757363486838288,not_tooth_brush
