mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.81146851953,2.0381328011426056,-2.7237359000000003,3.471016506459438,-6.376922114016249,6.079046206612274,-6.78030025,8.804973107477458,-3.002273734190501,7.4075730594196525,-3.0273047,7.984272406366996,not_tooth_brush
-2.682583537395,2.462231005427368,-2.39681575,3.639186654374892,-6.524712772737501,5.3095358920846705,-6.83778065,8.407887381951896,-4.83270932729,6.805326870220575,-5.813909649999999,8.339770504522026,not_tooth_brush
-2.850770796695,2.5572996860988546,-2.5219556,3.8275744755130567,-5.929442647075,4.569901561336342,-6.2953088,7.482651962008882,-6.3672252977,5.96337589334732,-7.4742572,8.71862978953192,not_tooth_brush
-3.1628867464525,2.4061014875735025,-2.9374915,3.9722416377238483,-5.8563915667375,3.6757742961917974,-5.89833425,6.91193609401932,-6.3211780560249995,5.631145538255675,-7.48683115,8.46095843204576,not_tooth_brush
-3.373444886265,2.315818728327488,-3.1171179999999996,4.0902003914458325,-4.862174051145001,3.318419107467256,-5.3253260000000004,5.884310674412047,-7.417680874809999,5.241023800547912,-8.865165000000001,9.078636968853692,not_tooth_brush
-3.8213704290249995,1.9687022693725913,-3.5913317,4.297554084557392,-5.275407749237499,4.239431671146246,-5.1696495,6.764449413130173,-6.67882932127,5.204017578913597,-8.175399,8.462910584833892,not_tooth_brush
-4.645490656775,2.2265294617298266,-4.4415635,5.150303224328141,-5.2873978154625005,4.169278504227068,-4.878655,6.730230434142133,-3.795097066795,6.244295603820173,-3.4057177000000003,7.300445963454169,not_tooth_brush
-4.84977385085,2.190866359159994,-4.64933175,5.320545279346672,-5.453423565424999,4.4037611834371155,-4.972659350000001,7.00603014290392,-3.7954413509700005,6.211855738238063,-3.7260516,7.2729676805312735,not_tooth_brush
-4.916529031525,2.382120672509954,-4.78345265,5.461920025868323,-5.694329603892499,4.342523448250813,-5.101990499999999,7.157915601739667,-3.5050452169724995,6.150357639266788,-3.0231135,7.072317428974883,not_tooth_brush
-4.5918481981,2.6307704815196713,-4.31642385,5.290436732209674,-5.4647250474249995,3.394571166380615,-5.5049525,6.430981687430604,-5.3291729117875,6.1743984210740575,-6.9269953,8.150335686107418,not_tooth_brush
-3.829357800175,2.3163227765370547,-3.6440222,4.473915398043719,-5.737200428272499,3.458162852314522,-5.67559745,6.696600767666791,-7.9473394109874995,4.170652575796397,-8.3777785,8.972795593579644,not_tooth_brush
-3.6458274591250004,2.2912671403557385,-3.5811528499999996,4.3045137016174815,-5.17699338030075,3.917941621783093,-5.5049525,6.489464642403014,-8.2588925254875,4.24755226769139,-8.62207025,9.284713337721131,not_tooth_brush
-3.9482166486000008,2.0362744260078878,-3.8823266,4.441223053219792,-5.841234083325751,4.377757035714139,-5.9097109,7.29635939275826,-6.642401043373249,5.060575182832743,-7.07848015,8.346669350654544,not_tooth_brush
-4.546073407775,2.0636622421932,-4.41461975,4.991476587554852,-5.48859142757575,4.534794256231258,-4.870272,7.1160089873355385,-4.16105603717325,6.019589637232111,-4.267326000000001,7.311583829558852,not_tooth_brush
-4.881474932700001,2.171333931298977,-4.687053199999999,5.341507449417787,-5.78467870480325,4.424231345236558,-5.8677978500000005,7.279244202284155,-3.1950668071732498,5.924012129130145,-2.75966135,6.7241829845057115,not_tooth_brush
-4.96262417335,2.1581823888722336,-4.6696893500000005,5.410521743001957,-6.944359147775,3.5351193888431904,-6.685098249999999,7.790375497620635,-2.12821435609825,4.961343834261248,-1.7848882499999998,5.392837069267009,not_tooth_brush
-4.631665402675,2.33726998430137,-4.33917665,5.186665432086776,-5.822292499785,3.4087730960934053,-5.9270745,6.7446107848156265,-4.173411364375,5.672492246652576,-5.267845400000001,7.036624743718196,not_tooth_brush
-4.075784358475,2.1196582971742997,-3.9350170999999996,4.592791858480783,-5.727976624685,3.6102000154606047,-6.00132015,6.768358479291004,-6.717709468124999,4.442376153019149,-7.7760298500000005,8.050651502725554,not_tooth_brush
-4.341020805475,2.1632814018056377,-4.23140085,4.848973973007743,-5.108133598959999,3.5594690899749657,-5.4474721,6.223437516100329,-5.231102889725,5.868873914472277,-7.15512075,7.85633561301339,not_tooth_brush
-4.352675571875,2.025392266601188,-4.25894355,4.7997648830980495,-4.39994128466,3.250094668213076,-4.47210035,5.467740929526716,-6.0071161363,5.934157744693255,-8.3196995,8.438698764830484,not_tooth_brush
-4.460762799525001,1.917326668946773,-4.2224195,4.854416129174754,-4.731813154885,3.160753859498408,-4.653523,5.688184664783307,-5.64953670825,5.857379054667899,-7.8550653,8.132673741424236,not_tooth_brush
-4.4816054560500005,1.9467279754946465,-4.21463565,4.885188113035585,-5.277677009435,2.981235895093885,-5.0211585,6.059655325136862,-5.38133642775,5.853344094737896,-7.2263728,7.945738779201317,not_tooth_brush
-4.145838679475,1.9057186867383737,-3.87933285,4.561870522048208,-6.0999081806749995,3.975876376224194,-5.5576429,7.278526896926731,-6.012986901414999,4.731539621538434,-7.0150120000000005,7.647712729882114,not_tooth_brush
-4.773767896975,2.1205837618878083,-4.53676575,5.222498754106448,-6.416972844512501,4.144492835662376,-5.812113699999999,7.636191413257361,-3.06401732934325,5.431008861702153,-2.2231768,6.229792918489613,not_tooth_brush
